p_id,brand_id,name,price,color,brand_name,ratingCount,avg_rating
1518329,242.0,DUPATTA BAZAAR WHITE EMBROIDERED CHIFFON DUPATTA,899.0,WHITE,DUPATTA BAZAAR,1321.0,4.548826646
5829334,750.0,ROADSTER WOMEN MUSTARD YELLOW SOLID HOODED SWEATSHIRT,1199.0,MUSTARD,ROADSTER,5462.0,4.313255218
10340119,389.0,INDDUS PEACH-COLOURED & BEIGE UNSTITCHED DRESS MATERIAL,5799.0,PEACH,INDDUS,145.0,4.068965517
10856380,783.0,SASSAFRAS WOMEN BLACK PARALLEL TROUSERS,1499.0,BLACK,SASSAFRAS,9124.0,4.147523016
12384822,482.0,KOTTY WOMEN BLACK WIDE LEG HIGH-RISE CLEAN LOOK JEANS,1999.0,BLACK,KOTTY,12260.0,4.078466558
12742100,458.0,KASSUALLY WOMEN BLACK & PINK PRINTED BASIC JUMPSUIT,2199.0,BLACK,KASSUALLY,6297.0,4.349213911
13842966,783.0,SASSAFRAS BROWN & RED GEOMETRIC PRINTED GEORGETTE WRAP CROP TOP,1499.0,BROWN,SASSAFRAS,7358.0,4.395351998
14021452,793.0,SERA WOMEN MULTICOLOURED  PRINTED TIE-UP SHRUG,1494.0,MULTI,SERA,750.0,4.288
14063026,903.0,TOKYO TALKIES WOMEN BLACK SOLID REGULAR SHORTS,699.0,BLACK,TOKYO TALKIES,1856.0,4.530711207
14324806,75.0,ANOUK STYLISH BLACK SOLID READY TO WEAR LEHENGA CHOLI WITH DUPATTA,4699.0,BLACK,ANOUK,84.0,3.80952381
14955068,750.0,ROADSTER WOMEN ELEGANT MAUVE SOLID LEISURE SET CO-ORDS,2599.0,MAUVE,ROADSTER,752.0,4.21143617
16595858,779.0,SAREE MALL FLORAL SAREE,3599.0,PINK,SAREE MALL,1005.0,3.980099502
16827132,903.0,TOKYO TALKIES WOMEN MAROON SOLID SINGLE-BREASTED FORMAL BLAZER,1399.0,MAROON,TOKYO TALKIES,125.0,3.912
17048614,467.0,KHUSHAL K WOMEN BLACK ETHNIC MOTIFS PRINTED KURTA WITH PALAZZOS & WITH DUPATTA,5099.0,BLACK,KHUSHAL K,4522.0,4.418398939
17413232,79.0,ANUBHUTEE PINK ETHNIC MOTIFS PRINTED KURTI,1739.0,PINK,ANUBHUTEE,273.0,4.249084249
